what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124828347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124829416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124835774
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1567124838786
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1567124839150
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop] return code: 4, 'other error'",1567124842032
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/c/Users/Aluno/Documents/aula20190829/software/Teste1/Teste1.elf] return code: 4, 'other error'",1567124845693
error,log,,,"Downloading ELF Process failed",1567124845707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124845741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124847768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124848917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124880258
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1567124884023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124889278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124891283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124891292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124891577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124892152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124897353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124897368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124897382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124897410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124951932
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1567124951969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124955739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1567124958342
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1567124958752
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1567124961147
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1567124961504
